longitude,latitude,temperature,precipitation
-116.02545988115264,33.990875388329364,28.9,330.0
-115.44928569359008,33.932539847008336,26.4,108.0
-115.6680060581886,33.98184968246926,28.6,209.0
-115.80134151580297,33.9684482051283,24.1,250.0
-116.24398135955757,33.87936999364333,24.9,407.0
-116.2440054796638,33.97656227050693,29.0,439.0
-116.3419163878318,33.72654775061558,23.8,456.0
-115.53382385422508,33.75879485872574,20.7,163.0
-115.7988849882568,33.713568186673164,18.8,241.0
-115.69192742220396,33.79759909922898,21.9,248.0
-116.3794155057042,33.816603186906846,25.3,476.0
-115.43009014783802,33.78140470953217,23.1,106.0
-115.56755735919958,33.94862125274558,26.4,183.0
-116.18766088932173,33.80702599800808,24.2,390.0
-116.2181750327929,33.784280352906215,22.7,432.0
-116.21659549014657,33.86280882494748,26.8,453.0
-116.09575775704047,33.74227726749243,19.9,346.0
-115.87524356836776,33.94065909422621,26.6,294.0
-115.9680549813579,33.72236519310393,19.9,332.0
-116.10877085980196,33.99606608098016,26.0,399.0
-115.78814710527763,33.931673430789,27.5,231.0
-116.26050613934797,33.759614704460255,22.3,418.0
-116.10785535146479,33.701656635137084,20.1,394.0
-116.03363815670632,33.94463842853645,26.9,359.0
-115.94393001578297,33.91205720315428,23.5,323.0
-115.614824038607,33.918702150412294,25.7,193.0
-116.20032621784165,33.93138110400579,26.3,407.0
-115.8857655615864,33.72221339552023,19.1,299.0
-115.80758543113797,33.807539718563284,22.9,269.0
-116.35354958728001,33.73476071785754,21.9,467.0
-115.79245514809857,33.95893102776268,31.5,294.0
-116.22947587631272,33.88698943804827,26.0,441.0
-116.33494840701472,33.799269407455796,23.5,450.0
-115.45111446274667,33.71906750508581,20.4,134.0
-115.43436796692545,33.7932946965147,19.0,94.0
-115.59160265188355,33.79755499660803,22.9,192.0
-116.09538623082663,33.91888185350142,26.7,401.0
-116.30232788599362,33.89126724140657,30.7,445.0
-115.71576697348785,33.9661638227729,27.6,246.0
-115.9598475062604,33.84166447754858,24.9,332.0
-116.27796176515523,33.735878273781495,21.0,468.0
-115.90482308988874,33.9139734361669,24.1,340.0
-116.36561147888479,33.92823551458507,29.1,481.0
-115.49067959792123,33.86838315927085,26.6,121.0
-116.14122001839999,33.93129015398637,28.5,379.0
-115.73747771564602,33.84813867890932,22.6,219.0
-116.0882889239106,33.8568198488146,27.5,374.0
-115.8799319788222,33.828262305507565,21.0,299.0
-115.85328972065673,33.70762573802323,21.4,287.0
-116.21514554447448,33.732367428097994,25.4,443.0
